,Дата,Адрес,Оксид углерода,Оксид азота,Диоксид азота,Диоксид серы,Озон,Взвешенные частицы PM10,Взвешенные частицы PM2.5,lon,lat
89,21_07_2019,"Россия, Санкт-Петербург, Московский проспект, дом 19",0.1,0.6,0.9,0.05,,,,30.31976,59.87203
90,21_07_2019,"Россия, Санкт-Петербург, Средний проспект, дом 74",0.1,0.6,1.0,,0.7,,0.4,30.28547,59.94592
91,21_07_2019,"Россия, Санкт-Петербург, проспект КИМа, дом 26 лит. А",0.2,0.7,0.9,0.1,,,,30.24221,59.95332
92,21_07_2019,"Россия, Санкт-Петербург, улица Карбышева, дом 7",0.1,0.6,0.9,,,0.2,,30.35872,59.99687
93,21_07_2019,"Россия, Санкт-Петербург, улица Ольги Форш, дом 6",0.1,0.4,0.7,,0.9,0.2,,30.39148,60.04297
94,21_07_2019,"Россия, город Колпино, Красная улица, дом 1а",0.1,0.3,0.3,0.1,,0.6,,30.60285,59.74381
95,21_07_2019,"Россия, поселок Металлострой, Железнодорожная улица, дом 13",0.1,0.2,0.5,0.05,0.6,0.2,,30.56708,59.81286
96,21_07_2019,"Россия, Санкт-Петербург, Малоохтинский проспект, дом 98",0.1,0.2,0.3,0.05,1.1,0.2,,30.40106,59.93159
97,21_07_2019,"Россия, Санкт-Петербург, Индустриальный проспект, д.64",0.2,0.7,0.6,0.1,,0.2,,30.47274,59.94882
98,21_07_2019,"Россия, Санкт-Петербург, Уткин проспект, д.16",0.1,0.6,0.5,0.05,,0.2,,30.42562,59.93601
99,21_07_2019,"Россия, Санкт-Петербург, Волхонское шоссе, д.116, корп. 3",,0.6,0.4,,0.7,0.05,,30.17530,59.79351
100,21_07_2019,"Россия, город Кронштадт, улица Ильмянинова, дом 4",0.1,0.1,0.4,,0.3,0.2,,29.78242,59.99420
101,21_07_2019,"Россия, город Сестрорецк, улица Максима Горького, дом 2",0.1,0.1,0.4,0.05,1.2,,0.5,29.95995,60.10023
102,21_07_2019,"Россия, Санкт-Петербург, улица Севастьянова, дом 11",0.1,0.05,0.4,,1.1,,0.3,30.32940,59.87366
103,21_07_2019,"Россия, Санкт-Петербург, улица Тельмана, дом 24",0.1,0.4,0.9,0.1,,,0.4,30.47909,59.89227
104,21_07_2019,"Россия, Санкт-Петербург, улица Профессора Попова, дом 48",0.3,1.7,0.7,0.05,,0.3,,30.31338,59.97130
105,21_07_2019,"Россия, город Ломоносов, улица Федюнинского, дом 3",0.2,1.1,1.1,0.05,,,0.4,29.79709,59.89314
106,21_07_2019,"Россия, Санкт-Петербург, улица Новосельковская, дом 23",0.1,0.1,0.3,0.05,,0.5,,29.84899,59.88138
107,21_07_2019,"Россия, город Пушкин, Тиньков переулок, дом 4",0.1,0.2,0.4,0.1,0.9,0.2,,30.37507,59.69893
108,21_07_2019,"Россия, Санкт-Петербург, Малая Балканская улица, дом 54",0.1,0.05,0.2,,1.3,0.2,,30.38049,59.83133
109,21_07_2019,"Россия, Санкт-Петербург, Шпалерная улица, дом 56",0.2,0.6,0.7,0.05,1.2,0.3,,30.37475,59.94920
110,21_07_2019,"Россия, Санкт-Петербург, улица Пестеля, дом 1",0.2,0.8,0.8,,0.5,0.4,,30.34212,59.94235
111,16_07_2019,"Россия, Санкт-Петербург, Московский проспект, дом 19",0.1,0.3,0.9,0.05,,,,30.31976,59.87203
112,16_07_2019,"Россия, Санкт-Петербург, Средний проспект, дом 74",0.1,0.2,0.9,,1.0,,0.3,30.28547,59.94592
113,16_07_2019,"Россия, Санкт-Петербург, проспект КИМа, дом 26 лит. А",0.1,0.3,1.0,0.1,,,,30.24221,59.95332
114,16_07_2019,"Россия, Санкт-Петербург, улица Карбышева, дом 7",0.1,0.6,0.9,,,0.2,,30.35872,59.99687
115,16_07_2019,"Россия, Санкт-Петербург, улица Ольги Форш, дом 6",0.1,0.4,0.7,,1.3,0.2,,30.39148,60.04297
116,16_07_2019,"Россия, город Колпино, Красная улица, дом 1а",0.1,0.1,0.2,0.1,,0.4,,30.60285,59.74381
117,16_07_2019,"Россия, поселок Металлострой, Железнодорожная улица, дом 13",0.1,0.1,0.5,0.05,0.9,0.1,,30.56708,59.81286
118,16_07_2019,"Россия, Санкт-Петербург, Малоохтинский проспект, дом 98",0.1,0.2,0.3,0.1,1.6,0.1,,30.40106,59.93159
119,16_07_2019,"Россия, Санкт-Петербург, Индустриальный проспект, д.64",0.1,0.4,0.6,0.05,,0.2,,30.47274,59.94882
120,16_07_2019,"Россия, Санкт-Петербург, Уткин проспект, д.16",0.1,0.4,0.5,0.05,,0.2,,30.42562,59.93601
121,16_07_2019,"Россия, Санкт-Петербург, Волхонское шоссе, д.116, корп. 3",0.1,0.3,0.4,,1.0,0.05,,30.17530,59.79351
122,16_07_2019,"Россия, город Кронштадт, улица Ильмянинова, дом 4",0.1,0.1,0.5,,0.1,0.1,,29.78242,59.99420
123,16_07_2019,"Россия, город Сестрорецк, улица Максима Горького, дом 2",0.1,0.1,0.4,0.05,1.4,,0.4,29.95995,60.10023
124,16_07_2019,"Россия, Санкт-Петербург, улица Севастьянова, дом 11",0.1,0.1,0.5,,1.3,,0.3,30.32940,59.87366
125,16_07_2019,"Россия, Санкт-Петербург, улица Тельмана, дом 24",0.1,0.1,0.7,0.05,,,0.3,30.47909,59.89227
126,16_07_2019,"Россия, Санкт-Петербург, улица Профессора Попова, дом 48",0.2,1.2,0.8,0.1,,0.3,,30.31338,59.97130
127,16_07_2019,"Россия, город Ломоносов, улица Федюнинского, дом 3",0.1,0.6,0.9,0.1,,,0.3,29.79709,59.89314
128,16_07_2019,"Россия, Санкт-Петербург, улица Новосельковская, дом 23",0.1,0.05,0.3,0.05,,0.5,,29.84899,59.88138
129,16_07_2019,"Россия, город Пушкин, Тиньков переулок, дом 4",0.1,0.4,0.5,0.05,1.1,0.2,,30.37507,59.69893
130,16_07_2019,"Россия, Санкт-Петербург, Малая Балканская улица, дом 54",0.1,0.05,0.2,,1.6,0.1,,30.38049,59.83133
131,16_07_2019,"Россия, Санкт-Петербург, Шпалерная улица, дом 56",0.1,0.5,0.7,0.05,1.3,0.2,,30.37475,59.94920
132,16_07_2019,"Россия, Санкт-Петербург, улица Пестеля, дом 1",0.1,0.3,0.7,,0.9,0.3,,30.34212,59.94235
133,22_07_2019,"Россия, Санкт-Петербург, Московский проспект, дом 19",0.1,0.6,0.9,0.05,,,,30.31976,59.87203
134,22_07_2019,"Россия, Санкт-Петербург, Средний проспект, дом 74",0.1,0.6,0.9,,0.9,,0.4,30.28547,59.94592
135,22_07_2019,"Россия, Санкт-Петербург, проспект КИМа, дом 26 лит. А",0.2,0.6,0.9,0.1,,,,30.24221,59.95332
136,22_07_2019,"Россия, Санкт-Петербург, улица Карбышева, дом 7",0.1,0.6,0.9,,,0.2,,30.35872,59.99687
137,22_07_2019,"Россия, Санкт-Петербург, улица Ольги Форш, дом 6",0.1,0.3,0.6,,1.1,0.2,,30.39148,60.04297
138,22_07_2019,"Россия, город Колпино, Красная улица, дом 1а",0.1,0.3,0.2,0.1,,0.5,,30.60285,59.74381
139,22_07_2019,"Россия, поселок Металлострой, Железнодорожная улица, дом 13",0.1,0.2,0.5,0.1,0.7,0.2,,30.56708,59.81286
140,22_07_2019,"Россия, Санкт-Петербург, Малоохтинский проспект, дом 98",0.1,0.2,0.3,0.05,1.3,0.2,,30.40106,59.93159
141,22_07_2019,"Россия, Санкт-Петербург, Индустриальный проспект, д.64",0.1,0.6,0.6,0.1,,0.2,,30.47274,59.94882
142,22_07_2019,"Россия, Санкт-Петербург, Уткин проспект, д.16",0.2,0.7,0.6,0.1,,0.2,,30.42562,59.93601
143,22_07_2019,"Россия, Санкт-Петербург, Волхонское шоссе, д.116, корп. 3",0.1,0.5,0.4,,0.8,0.05,,30.17530,59.79351
144,22_07_2019,"Россия, город Кронштадт, улица Ильмянинова, дом 4",0.1,0.2,0.5,,0.6,0.2,,29.78242,59.99420
145,22_07_2019,"Россия, город Сестрорецк, улица Максима Горького, дом 2",0.1,0.2,0.7,0.05,1.3,,0.5,29.95995,60.10023
146,22_07_2019,"Россия, Санкт-Петербург, улица Севастьянова, дом 11",0.1,0.1,0.6,,1.2,,0.4,30.32940,59.87366
147,22_07_2019,"Россия, Санкт-Петербург, улица Тельмана, дом 24",0.1,0.4,0.8,0.05,,,0.4,30.47909,59.89227
148,22_07_2019,"Россия, Санкт-Петербург, улица Профессора Попова, дом 48",0.3,1.6,0.8,0.05,,0.3,,30.31338,59.97130
149,22_07_2019,"Россия, город Ломоносов, улица Федюнинского, дом 3",0.2,0.9,1.0,0.05,,,0.4,29.79709,59.89314
150,22_07_2019,"Россия, Санкт-Петербург, улица Новосельковская, дом 23",0.1,0.1,0.4,0.05,,0.7,,29.84899,59.88138
151,22_07_2019,"Россия, город Пушкин, Тиньков переулок, дом 4",0.1,0.3,0.6,0.1,0.8,0.2,,30.37507,59.69893
152,22_07_2019,"Россия, Санкт-Петербург, Малая Балканская улица, дом 54",0.1,0.1,0.3,,1.4,0.2,,30.38049,59.83133
153,22_07_2019,"Россия, Санкт-Петербург, Шпалерная улица, дом 56",0.1,0.6,0.7,0.05,1.3,0.3,,30.37475,59.94920
154,22_07_2019,"Россия, Санкт-Петербург, улица Пестеля, дом 1",0.1,0.7,0.8,,0.7,0.4,,30.34212,59.94235
